Processor,Camera,phoneName,price,ram_memory,rom_memory,Display Size,battery
Qualcomm Snapdragon 665 Processor,13MP + 8MP + 2MP + 2MP | 16MP Front Camera,Vivo Y50 ,"16,490",4 GB RAM , 64 GB ROM ,16.51 cm  HD+ ,6000 
Qualcomm Snapdragon 662 Processor,64MP + 2MP + 2MP | 16MP Front Camera,Motorola G9 Power ,"11,999",4 GB RAM , 64 GB ROM ,90 Hz Ultra Smooth ,5000 
MediaTek Helio G70 Processor,48MP + 2MP + 2MP + AI Lens Camera | 16MP Front Camera,Infinix Note 7 ,"10,999",4 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,5000 
MediaTek Helio G70 Processor,48MP + 2MP + 2MP + AI Lens Camera | 16MP Front Camera,Infinix Note 7 ,"10,999",4 GB RAM , 64 GB ROM ,17.32 cm  HD+ ,5000 
Qualcomm Snapdragon 662 Processor,48MP + 2MP + 2MP | 8MP Front Camera,Motorola G9 ,"10,999",4 GB RAM , 64 GB ROM ,16.51 cm  Full HD+ ,5000 
MediaTek Helio P22 (64 bit) Processor,13 MP + 2 MP + 2 MP + Low Light Sensor | 8MP Front Camera,Infinix Hot 9 ,"9,499",4 GB RAM , 128 GB ROM ,16.51 cm  ,5000 
MediaTek Helio G25 Processor,13MP Rear Camera | 5MP Front Camera,Redmi 9i ,"9,299",8 GB RAM , 128 GB ROM ,16.51 cm  ,4300 
Snapdragon 720G Processor,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,Realme 6 Pro ,"19,999",8 GB RAM , 128 GB ROM ,16.94 cm  Full HD+ ,4500 
Qualcomm Snapdragon 665 Processor,48MP + 8MP + 2MP + 2MP | 32MP Front Camera,Vivo S1 Pro ,"18,990",8 GB RAM , 128 GB ROM ,16.51 cm  Full HD+ ,6000 
Qualcomm Snapdragon 732G Processor,64MP + 13MP + 2MP + 2MP | 20MP Front Camera,POCO X3 ,"19,999",4 GB RAM , 64 GB ROM ,16.56 cm  HD+ ,5000 
Qualcomm Snapdragon 460 Processor,13MP + 2MP + 2MP | 8MP Front Camera,Vivo Y20 ,"12,990",8 GB RAM , 128 GB ROM ,16.76 cm  HD+ ,6000 
Qualcomm Snapdragon 732G Processor,64MP + 13MP + 2MP + 2MP | 20MP Front Camera,POCO X3 ,"19,999",6 GB RAM , 128 GB ROM ,16.54 cm  HD+ ,5000 
Qualcomm Snapdragon 750G Processor,48MP + 8MP + 2MP | 16MP Front Camera,Moto G 5G ,"20,999",2 GB RAM , 16 GB ROM ,16.59 cm  ,4000 
MediaTek Quad Core Processor,8MP Rear Camera | 8MP Front Camera,Panasonic Eluga I7 ,"5,001",4 GB RAM , 64 GB ROM ,16.59 cm  ,5000 
Qualcomm Snapdragon 460 Processor,13MP + 2MP + 2MP | 8MP Front Camera,Vivo Y20 ,"12,990",6 GB RAM , 64 GB ROM ,17.22 cm  HD+ ,6000 
Qualcomm Snapdragon 732G Processor,64MP + 13MP + 2MP + 2MP | 20MP Front Camera,POCO X3 ,"16,999",6 GB RAM , 128 GB ROM ,17.65 cm  HD+ ,6000 
Exynos 9611 Processor,64MP + 8MP + 5MP | 32MP Front Camera,Samsung Galaxy F41 ,"17,999",4 GB RAM , 64 GB ROM ,17.65 cm  HD+ ,5020 
Qualcomm® Snapdragon™ 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,Redmi Note 9 Pro ,"13,940",6 GB RAM , 128 GB ROM ,16.51 cm  HD+ ,5020 
Qualcomm® Snapdragon™ 720G Processor,48MP + 8MP + 5MP + 2MP | 16MP Front Camera,Redmi Note 9 Pro ,"17,199",6 GB RAM , 128 GB ROM ,16.76 cm  HD+ ,5000 
MediaTek Helio P35 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Vivo Y30 ,"14,990",4 GB RAM , 128 GB ROM ,16.59 cm  HD+ ,5000 
MediaTek Helio P35 Processor,13MP + 8MP + 2MP + 2MP | 8MP Front Camera,Vivo Y30 ,"13,990",3 GB RAM , 64 GB ROM ,16.76 cm  Full HD+ ,5000 
Qualcomm Snapdragon 460 Processor,13MP + 2MP + 2MP | 8MP Front Camera,Vivo Y20i ,"11,490",3 GB RAM , 64 GB ROM ,90 Hz Ultra Smooth ,5000 
Qualcomm Snapdragon 460 Processor,13MP + 2MP + 2MP | 8MP Front Camera,Vivo Y20i ,"11,490",4 GB RAM , 128 GB ROM ,Side Fingerprint Sensor | Dual In ,5020 
MediaTek Helio G80 Processor,13MP Rear Camera | 8MP Front Camera,Redmi 9 Prime ,"10,999",2 GB RAM , 32 GB ROM ,16.21 cm  Full HD+ ,5000 
