,Phone_Name,Processor,RAM,Display,Camera,Price,Battery
405,"Honor 9X (Midnight Black, 128 GB)",Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,48MP + 8MP | 13MP Front Camera,"₹13,999",4000 mAh Lithium Polymer Battery
406,"Vivo V20 (Midnight Jazz, 256 GB)",Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 32MP Front Camera,"₹27,990",4000 mAh Lithium Polymer Battery
407,"Vivo V20 (Sunset Melody, 256 GB)",Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Super AMOLED Display,48MP + 8MP + 2MP | 16MP Front Camera,"₹27,990",4000 mAh Li-ion Polymer Battery
408,"Vivo V20 (Midnight Jazz, 128 GB)",Helio P65 (MT6768) Processor,4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 2MP | 44MP Front Camera,"₹24,990",6000 mAh Battery
409,"Samsung M31 Prime (Ocean Blue, 128 GB)",Helio P65 (MT6768) Processor,4 GB RAM | 64 GB ROM,Super AMOLED Display,64MP + 8MP + 2MP | 44MP Front Camera,"₹17,389",5000 mAh Battery
410,"Realme Narzo 10 (That Blue, 128 GB)",Helio P65 (MT6768) Processor,3 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP | 44MP Front Camera,"₹11,999",4500 mAh Li-ion Polymer Battery
411,"Lenovo A7 (Blue, 64 GB)",Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP Rear Camera,"₹7,990",5000 mAh Li-ion Battery
412,"Redmi Note 9 (Aqua Green, 64 GB)",Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.49 cm (6.1 inch) Liquid Retina HD Display,48MP + 8MP + 2MP + 2MP | 16MP Front Camera,"₹12,990",5000 mAh Lithium-ion Battery
413,"Redmi Note 8 (Moonlight White, 64 GB)",Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Display,13MP Rear Camera | 5MP Front Camera,"₹13,990",5000 mAh Battery
414,"Redmi 8 (Emerald Green, 64 GB)",Qualcomm® Snapdragon™ 750G Processor,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.59 cm (6.53 inch) Full HD+ Display,48MP Rear Camera,"₹9,999",5000 mAh Battery
415,"OPPO Reno3 Pro (Auroral Blue, 256 GB)",Qualcomm Snapdragon 675 Processor,4 GB RAM | 64 GB ROM,16.26 cm (6.4 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,"₹27,990",4230 mAh Battery
416,"Apple iPhone 11 (Black, 128 GB) (Includes EarPods, Power Adapter)",MediaTek Helio G85 Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.26 cm (6.4 inch) Full HD+ Display,12MP + 2MP | 8MP Front Camera,"₹56,999",4000 mAh Li-polymer Battery
417,"Motorola E7 Plus (Twilight Orange, 64 GB)",Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,Super AMOLED Display,64MP + 13MP + 8MP + 2MP | 44MP + 2MP Dual Front Camera,"₹9,999",4000 mAh Li-polymer Battery
